text,analysis
2015 LSU Football - Alabama Trailer http:// fb.me/7Nf4GdxWJ,positive
@ctubz9 IT'S GAY HOW MUCH YOU LIKE LSU FOOTBALL TEAM,negative
http:// deathvalleyvoice.com >> Watch LSU football ’s epic hype video for Alabama game: Part 1 http:// buzztap.com/-iF6BV5,positive
"My favorites are probably some pictures of Coach Mac (former LSU football coach Charlie McClendon) at different events, ... especially one…,
Watch “2015 LSU Football - Alabama Trailer Part 2” on @Vimeo https:// vimeo.com/144671740,
@ash_trojanFB would be a nice addition to #LSU football since he will be in campus anyway! Im sure Paul is ok w it..,
THE AVENGERS+ LSU FOOTBALL =GOALS love this vid https:// twitter.com/lsufball/statu s/662402029294215168 …,
My favorites are probably some pictures of Coach Mac (former LSU football coach Charlie McClendon) at different events... especially one…",positive
There's only one way to raise the bar. @lsufootball is preparing for prime time the only way they know how: by... http:// fb.me/OQCJzVng,positive
You're an LSU football fan http://www. wafb.com/story/26360498 /youre-an-lsu-football-fan … @Liberal_Cancer @Ddarn29 pretty good,positive
@bomani_jones perfect description of LSU football on the podcast today. Les' dedication to an identity also part of his strategic downfall,positive
LSU Football Is The Best Shot At A Playoff Berth For SEC by Geoffrey Knox @RantSports http://www. rantsports.com/ncaa-football/ 2015/11/02/lsu-football-is-the-best-shot-at-a-playoff-berth-for-sec/ … http:// fb.me/3m9MQ2fYX,positive
Don't watch LSU football with him. He won't like you anymore …thanks Mom,negative
Watch “2015 LSU Football - Alabama Trailer Part 2” on @Vimeo https:// vimeo.com/144671740,positive
Hype: LSU Football vs. Alabama (Part 2) http://www. lsusports.net/mediaPortal/pl ayer.dbml?db_oem_id=5200&id=4638617&catid=608#.Vjv5HyJhntY.twitter …,positive
From my first #LSU football game as a freshmanto my last as a seniorI watched the majority of the… https:// instagram.com/p/9uRqt-Pbun/,positive
Dear RoadiesNicky's canceled this week's show do to LSU football . Please disregard any notices about us performing @Nicky's this week.,negative
Kins and I met the LSU football team last night!! See yall on Saturday!!!… https:// instagram.com/p/9uRCXzq-FBAz XBD30Iot68rcqnmvaWao5QGq00/ …,positive
The best site on the web for LSU footballrecruitingand sports news. Updated daily! http://www. dandydon.com/report.php?id= 2326 …,positive
Leonard Fournette can be the next great RB: http://www. openendsports.com/ncaaf/no-fourn ette-league-yet … … #LeonardFournette #LSU #football #LSUNATION #NCAASeason91 #sports,positive
Soon. #LSUvsBAMA #GeauxTigers https:// amp.twimg.com/v/50728c8d-5a0 1-458c-ac51-dc4d91ff2133 …,positive
Les Miles and Nick Saban meet again Saturday as LSU Football faces Alabama Football. Here's a look at the battles... http:// fb.me/7rzhHcKfA,positive
[ #TBT ] LSU Football Fans Spend Summer Preparing for Saban Mindfuck http:// bit.ly/1arqpLu pic.twitter.com/2bQZGWuiQ3,positive
@clauzell247 he averages 193.5.....that's not a lot for LSU football ....,negative
supposed 2 rain all saturday...perfect for LSU football,positive
El Top 25 de la NCAA Football 1.- Clemson Football 2.- LSU Football 3.- Ohio State University Football 4.-... http:// fb.me/43tzcdFOX,positive
Leonard Fournette can be the next great RB: http://www. openendsports.com/ncaaf/no-fourn ette-league-yet … … #LeonardFournette #LSU #football #LSUNATION #NCAASeason91 #sports,positive
@LSU_FOOTBALL _ @lsu @LSUfball @YahooSports for good reason.,positive
http:// deathvalleyvoice.com >> LSU football injury report: JD Moore back for AlabamaWhite uncertain http:// buzztap.com/-9Yr64I,negative
Come out to Christian's Tailgate White Oak Saturday at 7 pm for the #LSUvBAMAand cheer on LSU Football 's Rotary... http:// fb.me/7yKIrFjkH,positive
Great feature on the offensive line with quotes from @v_alex74@ETHANPOCIC and @bubbahawk10 . https:// twitter.com/sinow/status/6 62330983564341248 …,positive
@williamandmary my co-workers wish I would stop sharing W&M infoespecially when they are watching LSU football games.,negative
No one outside of the SEC truly understands the tradition that is LSU football .,positive
We're live chating #LSU footballand we've got real Cubanstoo. Join - http:// bit.ly/1NPfzmk pic.twitter.com/124uGCEQdS,positive
In all of my yearsI have never seen a finer player ambassador for the #LSU football program than Leonard Fournette.,positive
@JoePCunningham @Sandpony @EsotericCD Agree. Never know what time that LSU game is played either. LSU Football > Next Governor,positive
It's Bama week. You never know what you're gonna get in @DellengerAdv 's #LSU football chat. http:// theadvocate.com/sports/lsu/138 80783-171/lsu-live-chat-ross-dellenger … pic.twitter.com/6fDWLEx3jI,positive
Next up on @SportsCenter is Leonard @_fournette #GeauxTigers pic.twitter.com/NIlZfe6UvJ,positive
Incredible American Red Cross support from LSU Football and especially the vision of Leonard Fournette to help... http:// fb.me/5pU72qr2d,positive
Enter the Blue Runner Gumbeaux Bowl. You could win tix to LSU-Texas A&M. #GamedayGumbeaux http:// lsul.su/1KXFcNc pic.twitter.com/6OVAq1UZDq,positive
Showing LSU football some love on ESPN,positive
. @Mills_Island about to go live on @SportsCenter now. #GeauxTigers pic.twitter.com/IbDspPRMlL,positive
@jamesharalson @1045espn @RohanDavey6 Awesome interview! Ro's my all time favorite LSU Football player.,positive
2015 LSU Football - Alabama Trailer https:// vimeo.com/144411072?ref= tw-share …,positive
VLOG #3 | LSU Football Game https:// youtu.be/bMmdsC-WAgI,positive
[ #TBT ] LSU Football Fans Spend Summer Preparing for Saban Mindfuck http:// bit.ly/1arqpLu pic.twitter.com/rO8OOCkYoQ,positive
Hype: LSU Football vs. Alabama http://www. lsusports.net/onDemandShare. dbml?DB_OEM_ID=5200&CFID=4626507 …,positive
Leonard Fournette can be the next great RB: http://www. openendsports.com/ncaaf/no-fourn ette-league-yet … … #LeonardFournette #LSU #football #LSUNATION #NCAASeason91 #sports,positive
I added a video to a @YouTube playlist http:// youtu.be/2HEDJl7oA6s?a TOUR LSU Football Indoor Facilities - Family Time || Week 11 ♡,positive
Alabama vs. LSU: Football asidewhich state has the musical advantage? http://www. al.com/entertainment/ index.ssf/2015/11/lsu_vs_alabama_week_football_a.html … pic.twitter.com/yZC2cUSWTm,positive
"#Quotes ""My favorites are probably some pictures of Coach Mac (former LSU football coach Charlie McClendon) at different events... especi…",positive
Editorial #Cartoon - J.D. CroweAlabama Media Group - Alabama LSU football game http:// ow.ly/36ZhaY,positive
The LSU football team makes $49 million a year. Wtf.,negative
In my memory of LSU football (which is relatively limited) I don't remember the fan base feeling so desperate for a win...,negative
Ready for some LSU football,positive
TigerBait's #LSU football and recruiting chat has begun. FREE 60 day trial so join us. http:// rvls.co/1PbnAoN pic.twitter.com/TIEaEfcP6T,positive
Coach Miles on his radio show: Poise is being able to focus on those things that bring our guys togetherand I think our team has that.,positive
Huge Thanks to former LSU Football Star An Retired General Jones on his ALL IN ELITE message to our program today pic.twitter.com/lGnUjaoldA,positive
Video: #LSU football coach Les Miles discusses preparation for Alabama. FREE http:// rvls.co/1SpW71g pic.twitter.com/HYnW6Kkrin,positive
Retweeted LSU Football ( @LSUfball ): Miles on the potential rain Sat: The good news is we’ve had a couple times... http:// fb.me/6MSb8aatT,positive
Retweeted LSU Football ( @LSUfball ): Miles on Brandon Harris' growth: Brandon is getting it. He needs a little more. He’s coming of age.,positive
LSU football team always been the squad,positive
LSU football and recruiting chat http:// ift.tt/1OpsKh0 #collegefootball,positive
Miles on Brandon Harris' growth: Brandon is getting it. He needs a little more. He’s coming of age.,positive
"Saturday: ""Win!"" RT @CodyWorsham : LSU football schedule this weekper Les Miles Wednesday: ""Work day"" Thursday: ""Polish"" Friday: ""Walk""",positive
Miles on the potential rain Sat: The good news is we’ve had a couple times in thisthe first game (vs. McNeese) and the last game (WKU).,positive
At his post-practice media session Coach Miles mentioned Christian LaCoutureJ.D. Moore and Tre'Davious White all practiced today.,positive
I get fightin mad over LSU football,negative
Join us for The Les Miles Show where he talks all things LSU football & enjoy legendary LA BBQ. Geaux Tigers! pic.twitter.com/Ap0Gz6E5Tl,positive
Big treat for #LSU football fans Thursday night on @WAFB ! Be sure to tune in! @1045espn pic.twitter.com/A6kWKJkix8,positive
@Tiger_Rag Marty Mule joins us now! #BeatBama #LSU #Football,positive
#LSU footballbasketball and baseball talk coming your way NOW on @1037TheGame with tri-sport guru @RandyRosetta . Tune in.,positive
Leonard Fournette can be the next great RB: http://www. openendsports.com/ncaaf/no-fourn ette-league-yet … … #LeonardFournette #LSU #football #LSUNATION #NCAASeason91 #sports,positive
Following the Future: How the #LSU football commitments are performing this season. $ http:// rvls.co/1SpvvgU pic.twitter.com/IXs5d4ngVP,positive
Alabama vs. LSU: Football asidewhich state has the musical advantage? - http:// AL.com http:// dlvr.it/CfPCmj,positive
@TruMaroonNation @IUBTownHoops Comparing Miss State to IU in Basketball is like comparing IU football to LSU football .,negative
PM RT: LSU Football : Tigers Road to College Football Playoff http:// ble.ac/1SmxNNT,positive
#WeFromLouisiana : #Boosie talks #LSU #Football on Highly Questionable @HQonESPN / http:// bit.ly/1M8wPzo / #ImFromLouisiana,positive
LSU football wives boxes for Flood victims arrived today :) http:// fb.me/7yVTFS0FI,positive
Thanks LSU football wives for your donations to the Flood victims of SC#SEC #sisterwives #footballwives #LSU #USC pic.twitter.com/IaW4SwMUpV,positive
@RHancock19 I have no beef with him. He kicked off a pretty good era of LSU football that's still going on.,negative
Why did the LSU football player climb over the chain link fence? To see what was on the other side. #LSUHateWeek #RollTide,negative
Fletch Podcast Fletch discusses the new CFP Poll and talks LSU Football and Basketball https:// soundcloud.com/thetimfletcher show/fletch-discusses-the-new-cfp-poll-and-talks-lsu-football-and-basketball … on #SoundCloud,positive
Sad Hawthorne isn't well and won't be calling games for a whilebut no one dislikes watching LSU football more than him.,negative
RT @openendsports_ : Leonard Fournette can be the next great RB: http:// openendsports.com/ncaaf/no-fourn … … #LeonardFournette #LSU #football #LSUNATION,positive
Everyone around here generally knows how to talk LSU football . Mom doesn't necessarily like football but has memorized jersey numbers.,positive
Q) How can you tell if a LSU football player has been using your computer? A) There's white out on the screen. #LSUHateWeek #RollTide,negative
AM RT: LSU Football : Tigers Road to College Football Playoff http:// ble.ac/1SmxNNT,positive
12:30 pm @ESPNChing (David Ching) covering LSU football and the SEC for http:// ESPN.com guest on Boomo Bugg show WYTK 93.9 FM,positive
LSU football camp this summer,positive
@Blafell1 still shows love for the panthers I hated to see this man walk away. Is it a LSU football thing... They wr's are tough,positive
I'm pretty sure the LSU football players are not going to class this week.,negative
PODCAST: #LSU football maturing as #Alabama game approaches @lsufball@geauxtigers http:// s.nola.com/MCCkqRS via @nolanews,positive
Blue Dog Dems & LSU Football ....Louisiana Lovin http:// pinterest.com/pin/5455689423 38630138/ …,positive
Today on SMIM - We talk LSU football with @tommykrysan at 8:30 am central. TK gives us his thoughts on the LSU-Alabama game.,positive
We started at 9 now... number two. Ohio why happen? Lol #lsu #football #ncaafootball #ncaa #college https:// instagram.com/p/9qAa1yBA7V/,negative
Hype: LSU Football vs. Alabama http://www. lsusports.net/mediaPortal/pl ayer.dbml?db_oem_id=5200&id=4626498&catid=608#.Vjmb9unIN0o.twitter …,positive
#cfbplayoff @alabamafbl #lsuvsbama @lsufootball #2 vs #4 @seconcbs http:// ift.tt/1GKB5t6 pic.twitter.com/uNeqmx8qUN,positive
BOOM! #Repost @lsufootball ・・・ LSU is No. 2 in the first @cfbplayoff rankings of the season.... http:// tmblr.co/Zmk8Xy1xQhBFS,positive
Im a Comic book lovingdrum playinglaid back music loving SHSU Bearkat who Loves the Saints & LSU football & I'm fine with that #ThisIsMe,positive
B/R >> LSU Football : Tigers' Road to College Football Playoff: November is herewhich means it's time for LSU... http:// ble.ac/1QacVdl,positive
LSU Football : Tigers Road to College Football Playoff http:// ble.ac/1SmxNNT,positive
If you're a female & you like LSU football marry me,positive
I'm so ready for LSU football this weekend,positive
Fournette jersey auction also includes @LSUCoachMiles signed helmet (white) from game & Spurrier signed helmet from what was his final game.,positive
derek can't name 5 people off the lsu football team but now since there top 5 he's the biggest fan,negative
#LSU RB Leonard Fournette jersey to be auctioned off starting Saturday at 7 a.m. CT. Details here: http:// lsul.su/1RQGHCf,positive
(Bleacher Report) LSU Football : Tigers' Road to College Football Playoff http:// ble.ac/1QacVdl #LSU,negative
@bigdreams_Bo hey manyou spoke at my sons first LSU football camp and he's never forgotten it. You're having a great year!,positive
LSU No. 2 in First College Football Playoff Rankings: BATON ROUGE -- The LSU football team was ranked No. 2 in... http:// bit.ly/1H5kWOH,positive
2015 LSU Football TriviaAgainst what opponent did Sen. Huey P. Long organize a special train convoy to... http:// fb.me/4E1KxAFQE,positive
2015 LSU Football Trivia= Dalton Hilliard set an LSU record by rushing for how many yards during the 1982 - 1985 seasons ?,positive
YOU hATas see it!!! Told y'all it's our year!! LET's Geaux TIGERS!! #LSU #Football #ICÄN #ICÄNOLOGY … https:// instagram.com/p/9pRKuhMBNI/,positive
Watch “2015 LSU Football - Alabama Trailer” on @Vimeo https:// vimeo.com/144411072,positive
(b/r) LSU Football : Tigers' Road to College Football Playoff: November is herewhich means it's time for LSU ... http:// ble.ac/1QacVdl,positive
Take me to Baton Rouge plz. I need LSU football and beignets,positive
LSU Football : Tigers' Road to College Football Playoff http:// dlvr.it/Cdw86n,positive
#AnDy_x9 LSU Football : Tigers' Road to College Football Playoff: November is herewhich means it's t... http:// ble.ac/1HpLyEY #AnDy_x9,positive
@LSUfball mr finebaum had some hate and discontent for LSU footballlet's give him the respect he deserves!!,negative
LSU Football ranked second in first College Football Playoff rankings. Are you surprised at the rankings or do... http:// fb.me/7D2l1JGjG,positive
LSU Football on Instagram: “LSU is No. 2 in the first @cfbplayoff rankings of the season.... http:// fb.me/245E1XJ06,positive
@j_dunb Lolyou must not watch LSU football man,positive
LSU football No. 2,positive
LSU Football : Tigers Road to College Football Playoff http:// ble.ac/1SmxNNT pic.twitter.com/hrfSXaYyDr,positive
#LSU fans: LSU No. 2 in First College Football Playoff Rankings: BATON ROUGE -- The LSU football team was rank... http:// bit.ly/1RQqcpR,positive
Can you believe LSU Football is ranked #2 in the College Football Playoffs? #geauxtigers #lsu #purpleandgold — feeling excited,positive
LSU is No. 2 in the first @CFBPlayoff Top 25 of the season. #GeauxTigers pic.twitter.com/IucQClYAsX,positive
#LSU FOOTBALL - ***College Football Playoff Show LIVE thread*** | TigerBait http:// lsu.forums.rivals.com/threads/colleg e-football-playoff-show-live-thread.16799/ …,positive
ICYMI: Hawthorne will miss first LSU football game of career on Saturday: http:// shout.lt/bg9g4 #LSU #KPLC7Sports,negative
LSU Football Chat with Glenn Guilbeau - Live Blog Live Blogging http:// rssfeeds.shreveporttimes.com/~/121927901/0/ shreveport/home~Chat-LSUAlabama-live-at-am …,positive
Real question: Can we replace the Bama/ lsu football game with a Leonard fournette/Derrick Henry cage match? Is that legal@NCAA ?,positive
LSU football : Alabama Crimson Tide stand in way of SECCollege Football Playoff goals http:// goo.gl/iEmA5C,positive
Anyone besides me remember Nick Saban's reaction to the last few years of LSU football games? #LSUHateWeek #RollTide pic.twitter.com/A6OCeKdUV8,negative
Want to brush up on your LSU football before this weekend's game? http:// hubs.ly/H01bqJN0 pic.twitter.com/8JBDr4upwk,positive
"Two LSU football players see train tracks. One says ""What a REALLY long staircase."" The other says ""Yeah but what's with the low banisters?""",negative
Are the majority of LSU football players dirty playing thugs,negative
I ain't talking bout y'all flukes that watch LSU football and THINK you know what's going on.,negative
Coffee will be at Rounders in Tuscaloosa Saturday from 3-5 pm before the / LSU football game signing autographs pic.twitter.com/xCmKKP7W3l,positive
#FOOTBALL : LSU vs Alabama Trailer: 2015 LSU Football - Alabama Trailer from LSU Football on Vimeo. http:// bit.ly/1Q907Uy,positive
I LOVE this rivalry #DBU #LSUvsBAMA #BamaHateWeek #UndefeatedTigers #FournetteForHeisman @lsufootball,positive
Last Second Ebay Bid RT↺ http:// tinyurl.com/omugker 2 Alabama Vs Lsu Football Tickets 11/7/15 TuscaloosaAl (sold Out Game) ↺Please Fav,positive
"Such a bad football year for my teams. LSU must beat Alabama! Watch ""2015 LSU Football - Alabama Trailer"" on @Vimeo https:// vimeo.com/144411072?ref= tw-share …",negative
Ready to for this weekend so we can get our limits of Specksand watch some LSU football ! Call us to book your hunt! #LiveOakOutfitters,positive
LSU football : Alabama Crimson Tide stand in way of SECCollege Football Playoff goals: The Sports Xch... http:// bit.ly/1NovppL #TSCEnt,positive
#Israel #UPI reports LSU football : Alabama Crimson Tide stand in way of SECCollege Football Playoff goals http:// ow.ly/36OD7i,positive
I liked a @YouTube video http:// youtu.be/vUNktnQiVIk?a Exclusive Sitdown Interview with LSU Football HC Les Miles,positive
Leonard Fournette can be the next great RB: http://www. openendsports.com/ncaaf/no-fourn ette-league-yet … #LeonardFournette #LSU #football #LSUNATION #NCAASeason91 #sports,positive
Damn Lsu football hype videos give me goosebumps,positive
The best site on the web for LSU footballrecruitingand sports news. Updated daily! http://www. dandydon.com/report.php?id= 2323 …,positive
I'm only watching LSU football the rest of the football seasonunless my Colts get their act together.,positive
Praying for you bama fans. WE BOUTTA TURNUP ON YALL! LSU football boutta be in full affect this weekend boy!,positive
I was at the #LSU campus checking out Mike earlier today. #geauxmike @LSU Football Stadium https:// instagram.com/p/9nGD5Nh1vq/,positive
@kaycedenise do you know anything about lsu football,negative
"It's Bama week!!! ""2015 LSU Football - Alabama Trailer"" https:// vimeo.com/144411072?ref= tw-share …",positive
So hoco is on the same night as LSU Alabama. Haven't missed a quarter of LSU football this year. Can't start now.,negative
This may be the most intense LSU football video of the decade! Wow! http:// fb.me/29a5Yirkn,positive
Pharrell must watch LSU football . He claps just like Les Miles #geauxtigers @NBCTheVoice @Pharrell @LSUCoachMiles @lsufootball,positive
2015 LSU Football - Alabama Trailer on Vimeo https:// vimeo.com/144411072,positive
Jim Hawthorne will miss his first LSU football game in when the Tigers take on Alabama Saturday in Tuscaloosa. >> http:// shout.lt/bg6Mh,positive
Getting #AlabamaHateWeek week going. #LSUvsBAMA #LSU Watch “2015 LSU Football - Alabama Trailer” on @Vimeo https:// vimeo.com/144411072,positive
Can't wait for Saturday because I'm pretty sure it will consist of washerbeerfood,positive
"@JakeBerman1 girls watched LSU football video with me and M's first comment at the end? ""But are there any updates on Leonard Fournutt?""",positive
Leonard Fournette can be the next great RB: http://www. openendsports.com/ncaaf/no-fourn ette-league-yet … #LeonardFournette #LSU #football #LSU19 #LSUNATION #NCAASeason91 #sports,positive
The best site on the web for LSU footballrecruitingand sports news. Updated daily! http://www. dandydon.com/report.php?id= 2323 …,positive
This past week might have been a bye week for LSU footballbut Chef Henry still wants to share that die-hard... http:// fb.me/6KzYwzrMq,positive
Well it's LSU football weekwhich means I can guarantee that one cover graphic will offend someone yet again... http:// fb.me/6X00Pcz6M,negative
BeckwithJones Named Butkus Semifinalists: BATON ROUGE – LSU football senior Deion Jones and junior Kendell B... http:// bit.ly/1kntZA7,positive
It's game week: LSU vs. Alabama #GeauxTigers https:// amp.twimg.com/v/483f5335-68e 7-4c0e-9437-1bc8acf2e05b …,positive
"@THECHADFREDIEU If this doesnt give you chills - #WeWantBama Watch ""2015 LSU Football - Alabama Trailer"" on @Vimeo https:// vimeo.com/144411072?ref= tw-share …",positive
LSU Football Is The Best Shot At A Playoff Berth For SEC by Geoffrey Knox @RantSports http://www. rantsports.com/ncaa-football/ 2015/11/02/lsu-football-is-the-best-shot-at-a-playoff-berth-for-sec/ …,positive
Kendell Beckwith was also named a @BednarikAward Semifinalist. http:// lsul.su/1MtLXr8 pic.twitter.com/BobpZqJIse,positive
Former @lsu quarterback Alan Risher commenting on #Alabama game next. #LSU #Football http:// jimengster.com,positive
Congrats to Leonard @_fournette for being a Maxwell Award Semifinalist. http:// lsul.su/1MtLXr8 pic.twitter.com/3BwadpsEMX,positive
Congrats to Kendell Beckwith and @bigdreams_Bo for being named Butkus Award Semifinalists! http:// lsul.su/1M832HT pic.twitter.com/i6LI3JnbED,positive
LSU Football : Can Fournette lock up the Heisman Saturday at Alabama? http:// bleacherreport.com/articles/25851 71-can-leonard-fournette-lock-up-2015-heisman-trophy-vs-alabama …,positive
LSU Football : Can Fournette lock up the Heisman Saturday at Alabama? http:// bleacherreport.com/articles/25851 71-can-leonard-fournette-lock-up-2015-heisman-trophy-vs-alabama …,positive
2015 LSU Football - Alabama Trailer on Vimeo https:// vimeo.com/144411072,positive
Retweeted LSU Football ( @LSUfball ): Coach Miles mentioned that he expects Christian LaCoutureJ.D. Moore and... http:// fb.me/NSVxI24y,positive
Leonard Fournette can be the next great RB: http://www. openendsports.com/ncaaf/no-fourn ette-league-yet … #LeonardFournette #LSU #football #LSU19 #LSUNATION #NCAASeason91 #sports,positive
@theadvocatebr - I cheer for the Tide but listen to LSU football every week just to hear Jims voice,negative
#bryantdenny Our #CPGameoftheWeek this Saturday is No.4 @lsufootball at No.7 @alabamafbl - 8PM ET. #AnyGivenSatu … pic.twitter.com/VIauuXYEoB,positive
Jim Hawthorne has called every #LSU football game since 1984. This will end his streak at 387 straight games. Best wishes for Jim's recovery,negative
@RouxgarouLSU @gothlaw are you alleging that the BR criminal justice system hasn’t shown some leniency to some former LSU football players?,negative
#WeFromLouisiana : #Boosie talks #LSU #Football on Highly Questionable @HQonESPN / http:// bit.ly/1M8wPzo / #ImFromLouisiana,positive
( lsu) Football vs. Arkansas TVKickoff TBA on Sunday: CBS has elected to use a six-day selection for games of... http:// bit.ly/1kmRPMn,positive
Miles Looks Ahead to Alabama: BATON ROUGE -- LSU Football Head Coach Les Miles previewed Saturday's 7 p.m. CT ... http:// bit.ly/1GZsJ0s,positive
What #LSU football is doing/saying? @Harveyrolltide is going to love this. #RTR #LSUvsBAMA http:// theadvocate.com/sports/lsu/138 51343-123/rammer-jammer-nick-saban-more …,negative
Want to attend the Alabama Football vs. LSU Football game this SaturdayNovember 7 in Tuscaloosa? We’re giving... http:// fb.me/7Hn2Wf2kz,positive
#GeauxTigers #LSU http:// ift.tt/1N9NgfE Football vs. Arkansas TVKickoff TBA on Sunday,positive
Coach Miles mentioned that he expects Christian LaCoutureJ.D. Moore and Tre'Davious White to be available to play Saturday.,positive
Coach Miles: I like my team. I like their character. They will respond in a big game. They’ll play hard and have fun.,positive
Coach Miles will take the podium shortly at his weekly press conference. Watch/listen at http://www. LSUsports.net/live,positive
Never going to another LSU football game such a waste of time,negative
@SmoothDude_9 tell me you're on my side for the @lsu football game against fail tide,positive
